Step,baseline,p90,p90_decay
1718,,141442.02,
1719,,,139678.53
1721,215363.0,,
1729,,142327.89,
1730,,,140564.39
1732,216761.69,,
1740,,143213.83,
1741,,,141450.75
1743,218160.81,,
1751,,144099.7,
1752,,,142337.52
1755,219559.9,,
1763,,144985.44,
1764,,,143223.67
1766,220958.78,,
1774,,145871.56,
1776,,,144109.9
1777,222357.86,,
1785,,146758.12,
1787,,,144996.08
1788,223756.97,,
1796,,147644.23,
1799,225155.58,,145882.05
1807,,148530.67,
1810,,,146768.05
1811,226554.6,,
1818,,149417.1,
1821,,,147654.25
1822,227953.22,,
1829,,150303.48,
1832,,,148539.92
1833,229351.34,,
1840,,151189.77,
1843,,,149425.98
1844,230749.94,,
1851,,152075.92,
1854,,,150311.97
1855,232148.84,,
1862,,152961.83,
1865,,,151197.75
1866,233547.44,,
1874,,153847.83,
1876,,,152083.17
1878,234946.12,,
1885,,154733.73,
1887,,,152969.69
1889,236345.14,,
1896,,155619.92,
1898,,,153855.88
1900,237744.27,,
1907,,156505.72,
1909,,,154741.95
1911,239143.17,,
1918,,157391.67,
1921,,,155627.89
1922,240542.39,,
1929,,158277.97,
1932,,,156513.02
1933,241941.55,,
1940,,159163.75,
1943,,,157399.31
1944,243340.7,,
1951,,160049.94,
1954,,,158285.64
1956,244739.8,,
1962,,160935.62,
1965,,,159171.48
1967,246139.16,,
1976,,,160057.44
1978,247538.02,,
1987,,,160943.77
1989,248936.52,,
1998,,,161830.05
2000,250335.48,,
2009,,,162716.36
2011,251734.33,,
2020,,,163602.67
2022,253133.38,,
2032,,,164489.08
2034,254532.4,,
2043,,,165375.75
2045,255931.12,,
2054,,,166262.0
2056,257329.64,,
2067,258728.31,,
2078,260126.75,,
2089,261525.48,,
2101,262924.22,,
2112,264323.12,,
2123,265722.38,,
2134,267121.38,,
2145,268520.5,,
2157,269918.88,,
2168,271317.8,,
2179,272716.6,,
