"Step","90p gc + 0.99 decay - charts/network_transfer_in_mb","90p gc + 0.99 decay - charts/network_transfer_in_mb__MIN","90p gc + 0.99 decay - charts/network_transfer_in_mb__MAX","1774140526-grad-compression=accumulate-grads - charts/network_transfer_in_mb","1774140526-grad-compression=accumulate-grads - charts/network_transfer_in_mb__MIN","1774140526-grad-compression=accumulate-grads - charts/network_transfer_in_mb__MAX","1774138806-grad-compression=None - charts/network_transfer_in_mb","1774138806-grad-compression=None - charts/network_transfer_in_mb__MIN","1774138806-grad-compression=None - charts/network_transfer_in_mb__MAX"
"813","67903.27","67903.27","67903.27","","","","","",""
"815","","","","","","","102075.65","102075.65","102075.65"
"820","","","","69673.7","69673.7","69673.7","","",""
"825","68789.586","68789.586","68789.586","","","","","",""
"827","","","","","","","103474.78","103474.78","103474.78"
"831","","","","70559.67","70559.67","70559.67","","",""
"836","69675.414","69675.414","69675.414","","","","","",""
"838","","","","","","","104873.6","104873.6","104873.6"
"842","","","","71445.734","71445.734","71445.734","","",""
"847","70561.38","70561.38","70561.38","","","","","",""
"850","","","","","","","106272.58","106272.58","106272.58"
"853","","","","72331.68","72331.68","72331.68","","",""
"859","71447.83","71447.83","71447.83","","","","","",""
"861","","","","","","","107671.05","107671.05","107671.05"
"864","","","","73217.625","73217.625","73217.625","","",""
"870","72334.15","72334.15","72334.15","","","","","",""
"872","","","","","","","109069.77","109069.77","109069.77"
"875","","","","74103.44","74103.44","74103.44","","",""
"881","73220.49","73220.49","73220.49","","","","","",""
"883","","","","","","","110468.31","110468.31","110468.31"
"886","","","","74989.4","74989.4","74989.4","","",""
"892","74106.516","74106.516","74106.516","","","","","",""
"895","","","","","","","111866.91","111866.91","111866.91"
"897","","","","75875.55","75875.55","75875.55","","",""
"904","74992.836","74992.836","74992.836","","","","","",""
"906","","","","","","","113265.266","113265.266","113265.266"
"908","","","","76761.55","76761.55","76761.55","","",""
"915","75879.02","75879.02","75879.02","","","","","",""
"917","","","","","","","114663.305","114663.305","114663.305"
"919","","","","77647.46","77647.46","77647.46","","",""
"926","76764.73","76764.73","76764.73","","","","","",""
"929","","","","","","","116061.9","116061.9","116061.9"
"930","","","","78533.516","78533.516","78533.516","","",""
"937","77650.76","77650.76","77650.76","","","","","",""
"941","","","","","","","117459.97","117459.97","117459.97"
"942","","","","79419.55","79419.55","79419.55","","",""
"948","78536.89","78536.89","78536.89","","","","","",""
"953","","","","80305.69","80305.69","80305.69","118858.805","118858.805","118858.805"
"959","79423.08","79423.08","79423.08","","","","","",""
"964","","","","81191.11","81191.11","81191.11","120257.21","120257.21","120257.21"
"970","80308.89","80308.89","80308.89","","","","","",""
"975","","","","82077.25","82077.25","82077.25","","",""
"976","","","","","","","121656.05","121656.05","121656.05"
"982","81195.086","81195.086","81195.086","","","","","",""
"986","","","","82963.33","82963.33","82963.33","","",""
"987","","","","","","","123055.02","123055.02","123055.02"
"993","82081.43","82081.43","82081.43","","","","","",""
"997","","","","83849.23","83849.23","83849.23","","",""
"998","","","","","","","124454.01","124454.01","124454.01"
"1004","82967.375","82967.375","82967.375","","","","","",""
"1008","","","","84735.49","84735.49","84735.49","","",""
"1009","","","","","","","125852.734","125852.734","125852.734"
"1015","83852.875","83852.875","83852.875","","","","","",""
"1019","","","","85621.68","85621.68","85621.68","","",""
"1020","","","","","","","127250.93","127250.93","127250.93"
"1026","84738.93","84738.93","84738.93","","","","","",""
"1031","","","","86507.68","86507.68","86507.68","128649.56","128649.56","128649.56"
"1037","85625.31","85625.31","85625.31","","","","","",""
"1042","","","","87393.32","87393.32","87393.32","130048.33","130048.33","130048.33"
"1048","86511.45","86511.45","86511.45","","","","","",""
"1053","","","","88279.13","88279.13","88279.13","131447.36","131447.36","131447.36"
"1060","87397.75","87397.75","87397.75","","","","","",""
"1064","","","","89165.266","89165.266","89165.266","132846.06","132846.06","132846.06"
"1071","88284.01","88284.01","88284.01","","","","","",""
"1075","","","","90051.35","90051.35","90051.35","","",""
"1076","","","","","","","134244.45","134244.45","134244.45"
"1082","89170.25","89170.25","89170.25","","","","","",""
"1086","","","","90937.55","90937.55","90937.55","","",""
"1087","","","","","","","135643.14","135643.14","135643.14"
"1093","90055.89","90055.89","90055.89","","","","","",""
"1097","","","","91823.51","91823.51","91823.51","","",""
"1098","","","","","","","137041.64","137041.64","137041.64"
"1104","90941.45","90941.45","90941.45","","","","","",""
"1108","","","","92709.414","92709.414","92709.414","","",""
"1109","","","","","","","138440.05","138440.05","138440.05"
"1115","91827.734","91827.734","91827.734","","","","","",""
"1119","","","","93595.516","93595.516","93595.516","","",""
"1120","","","","","","","139838.81","139838.81","139838.81"
"1126","92713.945","92713.945","92713.945","","","","","",""
"1130","","","","94481.51","94481.51","94481.51","","",""
"1131","","","","","","","141237.36","141237.36","141237.36"
"1137","93600.19","93600.19","93600.19","","","","","",""
"1141","","","","95367.53","95367.53","95367.53","","",""
"1142","","","","","","","142636.12","142636.12","142636.12"
"1148","94486.07","94486.07","94486.07","","","","","",""
"1153","","","","96253.3","96253.3","96253.3","144035.08","144035.08","144035.08"
"1160","95371.87","95371.87","95371.87","","","","","",""
"1164","","","","97139.695","97139.695","97139.695","145434.08","145434.08","145434.08"
"1171","96257.85","96257.85","96257.85","","","","","",""
"1175","","","","98025.59","98025.59","98025.59","","",""
"1176","","","","","","","146832.48","146832.48","146832.48"
"1182","97144.24","97144.24","97144.24","","","","","",""
"1186","","","","98912.01","98912.01","98912.01","","",""
"1187","","","","","","","148231.36","148231.36","148231.36"
"1193","98030.25","98030.25","98030.25","","","","","",""
"1197","","","","99797.93","99797.93","99797.93","","",""
"1198","","","","","","","149630.14","149630.14","149630.14"
"1204","98916.11","98916.11","98916.11","","","","","",""
"1208","","","","100683.8","100683.8","100683.8","","",""
"1209","","","","","","","151028.98","151028.98","151028.98"
"1215","99802.125","99802.125","99802.125","","","","","",""
"1219","","","","101570.07","101570.07","101570.07","","",""
"1220","","","","","","","152427.55","152427.55","152427.55"
"1226","100688.46","100688.46","100688.46","","","","","",""
"1230","","","","102455.88","102455.88","102455.88","","",""
"1231","","","","","","","153825.95","153825.95","153825.95"
"1237","101574.57","101574.57","101574.57","","","","","",""
"1241","","","","103341.78","103341.78","103341.78","","",""
"1242","","","","","","","155224.05","155224.05","155224.05"
"1248","102460.76","102460.76","102460.76","","","","","",""
"1252","","","","104227.39","104227.39","104227.39","","",""
"1254","","","","","","","156622.7","156622.7","156622.7"
"1259","103347.055","103347.055","103347.055","","","","","",""
"1263","","","","105113.46","105113.46","105113.46","","",""
"1265","","","","","","","158021.06","158021.06","158021.06"
"1270","104233.414","104233.414","104233.414","","","","","",""
"1275","","","","105999.766","105999.766","105999.766","","",""
"1276","","","","","","","159419.39","159419.39","159419.39"
"1282","105119.62","105119.62","105119.62","","","","","",""
"1286","","","","106885.555","106885.555","106885.555","","",""
"1288","","","","","","","160818.2","160818.2","160818.2"
"1293","106005.84","106005.84","106005.84","","","","","",""
"1297","","","","107771.51","107771.51","107771.51","","",""
"1299","","","","","","","162216.75","162216.75","162216.75"
"1304","106891.73","106891.73","106891.73","","","","","",""
"1308","","","","108657.53","108657.53","108657.53","","",""
"1310","","","","","","","163615.38","163615.38","163615.38"
"1315","107778.29","107778.29","107778.29","","","","","",""
"1319","","","","109543.14","109543.14","109543.14","","",""
"1321","","","","","","","165013.89","165013.89","165013.89"
"1326","108664.64","108664.64","108664.64","","","","","",""
"1330","","","","110428.95","110428.95","110428.95","","",""
"1332","","","","","","","166412.25","166412.25","166412.25"
"1337","109550.89","109550.89","109550.89","","","","","",""
"1341","","","","111315.3","111315.3","111315.3","","",""
"1343","","","","","","","167810.42","167810.42","167810.42"
"1348","110436.85","110436.85","110436.85","","","","","",""
"1352","","","","112201.516","112201.516","112201.516","","",""
"1354","","","","","","","169209.19","169209.19","169209.19"
"1359","111323.14","111323.14","111323.14","","","","","",""
"1363","","","","113087.6","113087.6","113087.6","","",""
"1365","","","","","","","170607.86","170607.86","170607.86"
"1370","112209.13","112209.13","112209.13","","","","","",""
"1374","","","","113973.59","113973.59","113973.59","","",""
"1376","","","","","","","172006.05","172006.05","172006.05"
"1381","113095.37","113095.37","113095.37","","","","","",""
"1385","","","","114859.78","114859.78","114859.78","","",""
"1388","","","","","","","173404.64","173404.64","173404.64"
"1393","113981.62","113981.62","113981.62","","","","","",""
"1397","","","","115745.82","115745.82","115745.82","","",""
"1399","","","","","","","174803.42","174803.42","174803.42"
"1404","114868.18","114868.18","114868.18","","","","","",""
"1408","","","","116632.09","116632.09","116632.09","","",""
"1410","","","","","","","176201.98","176201.98","176201.98"
"1415","115753.97","115753.97","115753.97","","","","","",""
"1419","","","","117517.92","117517.92","117517.92","","",""
"1421","","","","","","","177600.45","177600.45","177600.45"
"1426","116639.78","116639.78","116639.78","","","","","",""
"1430","","","","118404.17","118404.17","118404.17","","",""
"1432","","","","","","","178999.14","178999.14","178999.14"
"1437","117525.78","117525.78","117525.78","","","","","",""
"1441","","","","119290.6","119290.6","119290.6","","",""
"1443","","","","","","","180397.34","180397.34","180397.34"
"1448","118412.4","118412.4","118412.4","","","","","",""
"1452","","","","120176.6","120176.6","120176.6","","",""
"1454","","","","","","","181795.77","181795.77","181795.77"
"1459","119298.234","119298.234","119298.234","","","","","",""
"1463","","","","121062.25","121062.25","121062.25","","",""
"1465","","","","","","","183194.42","183194.42","183194.42"
"1470","120184.57","120184.57","120184.57","","","","","",""
"1474","","","","121948.32","121948.32","121948.32","","",""
"1476","","","","","","","184592.81","184592.81","184592.81"
"1481","121070.47","121070.47","121070.47","","","","","",""
"1485","","","","122834.27","122834.27","122834.27","","",""
"1488","","","","","","","185991.3","185991.3","185991.3"
"1493","121956.27","121956.27","121956.27","","","","","",""
"1496","","","","123720.59","123720.59","123720.59","","",""
"1499","","","","","","","187389.7","187389.7","187389.7"
"1504","122842.48","122842.48","122842.48","","","","","",""
"1507","","","","124606.96","124606.96","124606.96","","",""
"1510","","","","","","","188787.95","188787.95","188787.95"
"1515","123728.23","123728.23","123728.23","","","","","",""
"1519","","","","125492.6","125492.6","125492.6","","",""
"1521","","","","","","","190186.6","190186.6","190186.6"
"1526","124614.66","124614.66","124614.66","","","","","",""
"1530","","","","126378.836","126378.836","126378.836","","",""
"1532","","","","","","","191585.39","191585.39","191585.39"
"1537","125501.17","125501.17","125501.17","","","","","",""
"1541","","","","127265.086","127265.086","127265.086","","",""
"1543","","","","","","","192983.97","192983.97","192983.97"
"1549","126386.75","126386.75","126386.75","","","","","",""
"1552","","","","128151.22","128151.22","128151.22","","",""
"1555","","","","","","","194382.69","194382.69","194382.69"
"1560","127273.07","127273.07","127273.07","","","","","",""
"1563","","","","129037.086","129037.086","129037.086","","",""
"1566","","","","","","","195781.56","195781.56","195781.56"
"1571","128159.25","128159.25","128159.25","","","","","",""
"1574","","","","129923.17","129923.17","129923.17","","",""
"1577","","","","","","","197180.02","197180.02","197180.02"
"1582","129045.266","129045.266","129045.266","","","","","",""
"1585","","","","130809.055","130809.055","130809.055","","",""
"1588","","","","","","","198578.75","198578.75","198578.75"
"1593","129931.29","129931.29","129931.29","","","","","",""
"1596","","","","131694.64","131694.64","131694.64","","",""
"1599","","","","","","","199977.66","199977.66","199977.66"
"1605","130817.33","130817.33","130817.33","","","","","",""
"1607","","","","132580.72","132580.72","132580.72","","",""
"1610","","","","","","","201376.47","201376.47","201376.47"
"1616","131703.81","131703.81","131703.81","","","","","",""
"1618","","","","133467","133467","133467","","",""
"1621","","","","","","","202775.58","202775.58","202775.58"
"1628","132590.06","132590.06","132590.06","","","","","",""
"1629","","","","134353.02","134353.02","134353.02","","",""
"1632","","","","","","","204174.12","204174.12","204174.12"
"1639","133475.86","133475.86","133475.86","","","","","",""
"1641","","","","135239.33","135239.33","135239.33","","",""
"1643","","","","","","","205572.77","205572.77","205572.77"
"1651","134362.22","134362.22","134362.22","","","","","",""
"1652","","","","136125.38","136125.38","136125.38","","",""
"1655","","","","","","","206971.66","206971.66","206971.66"
"1663","135248.19","135248.19","135248.19","137011.33","137011.33","137011.33","","",""
"1666","","","","","","","208370.38","208370.38","208370.38"
"1674","136134.44","136134.44","136134.44","137897.42","137897.42","137897.42","","",""
"1677","","","","","","","209768.47","209768.47","209768.47"
"1685","","","","138783.8","138783.8","138783.8","","",""
"1686","137020.38","137020.38","137020.38","","","","","",""
"1688","","","","","","","211167.3","211167.3","211167.3"
"1696","","","","139670.05","139670.05","139670.05","","",""
"1697","137906.55","137906.55","137906.55","","","","","",""
"1699","","","","","","","212565.84","212565.84","212565.84"
"1707","","","","140555.95","140555.95","140555.95","","",""
"1708","138792.31","138792.31","138792.31","","","","","",""
"1710","","","","","","","213964.22","213964.22","213964.22"
"1718","","","","141442.02","141442.02","141442.02","","",""
"1719","139678.53","139678.53","139678.53","","","","","",""
"1721","","","","","","","215363","215363","215363"
"1729","","","","142327.89","142327.89","142327.89","","",""
"1730","140564.39","140564.39","140564.39","","","","","",""
"1732","","","","","","","216761.69","216761.69","216761.69"
"1740","","","","143213.83","143213.83","143213.83","","",""
"1741","141450.75","141450.75","141450.75","","","","","",""
"1743","","","","","","","218160.81","218160.81","218160.81"
"1751","","","","144099.7","144099.7","144099.7","","",""
"1752","142337.52","142337.52","142337.52","","","","","",""
"1755","","","","","","","219559.9","219559.9","219559.9"
"1763","","","","144985.44","144985.44","144985.44","","",""
"1764","143223.67","143223.67","143223.67","","","","","",""
"1766","","","","","","","220958.78","220958.78","220958.78"
"1774","","","","145871.56","145871.56","145871.56","","",""
"1776","144109.9","144109.9","144109.9","","","","","",""
"1777","","","","","","","222357.86","222357.86","222357.86"
"1785","","","","146758.12","146758.12","146758.12","","",""
"1787","144996.08","144996.08","144996.08","","","","","",""
"1788","","","","","","","223756.97","223756.97","223756.97"
"1796","","","","147644.23","147644.23","147644.23","","",""
"1799","145882.05","145882.05","145882.05","","","","225155.58","225155.58","225155.58"
"1807","","","","148530.67","148530.67","148530.67","","",""
"1810","146768.05","146768.05","146768.05","","","","","",""
"1811","","","","","","","226554.6","226554.6","226554.6"
"1818","","","","149417.1","149417.1","149417.1","","",""
"1821","147654.25","147654.25","147654.25","","","","","",""
"1822","","","","","","","227953.22","227953.22","227953.22"
"1829","","","","150303.48","150303.48","150303.48","","",""
"1832","148539.92","148539.92","148539.92","","","","","",""
"1833","","","","","","","229351.34","229351.34","229351.34"
"1840","","","","151189.77","151189.77","151189.77","","",""
"1843","149425.98","149425.98","149425.98","","","","","",""
"1844","","","","","","","230749.94","230749.94","230749.94"
"1851","","","","152075.92","152075.92","152075.92","","",""
"1854","150311.97","150311.97","150311.97","","","","","",""
"1855","","","","","","","232148.84","232148.84","232148.84"
"1862","","","","152961.83","152961.83","152961.83","","",""
"1865","151197.75","151197.75","151197.75","","","","","",""
"1866","","","","","","","233547.44","233547.44","233547.44"
"1874","","","","153847.83","153847.83","153847.83","","",""
"1876","152083.17","152083.17","152083.17","","","","","",""
"1878","","","","","","","234946.12","234946.12","234946.12"
"1885","","","","154733.73","154733.73","154733.73","","",""
"1887","152969.69","152969.69","152969.69","","","","","",""
"1889","","","","","","","236345.14","236345.14","236345.14"
"1896","","","","155619.92","155619.92","155619.92","","",""
"1898","153855.88","153855.88","153855.88","","","","","",""
"1900","","","","","","","237744.27","237744.27","237744.27"
"1907","","","","156505.72","156505.72","156505.72","","",""
"1909","154741.95","154741.95","154741.95","","","","","",""
"1911","","","","","","","239143.17","239143.17","239143.17"
"1918","","","","157391.67","157391.67","157391.67","","",""
"1921","155627.89","155627.89","155627.89","","","","","",""
"1922","","","","","","","240542.39","240542.39","240542.39"
"1929","","","","158277.97","158277.97","158277.97","","",""
"1932","156513.02","156513.02","156513.02","","","","","",""
"1933","","","","","","","241941.55","241941.55","241941.55"
"1940","","","","159163.75","159163.75","159163.75","","",""
"1943","157399.31","157399.31","157399.31","","","","","",""
"1944","","","","","","","243340.7","243340.7","243340.7"
"1951","","","","160049.94","160049.94","160049.94","","",""
"1954","158285.64","158285.64","158285.64","","","","","",""
"1956","","","","","","","244739.8","244739.8","244739.8"
"1962","","","","160935.62","160935.62","160935.62","","",""
"1965","159171.48","159171.48","159171.48","","","","","",""
"1967","","","","","","","246139.16","246139.16","246139.16"
"1976","160057.44","160057.44","160057.44","","","","","",""
"1978","","","","","","","247538.02","247538.02","247538.02"
"1987","160943.77","160943.77","160943.77","","","","","",""
"1989","","","","","","","248936.52","248936.52","248936.52"
"1998","161830.05","161830.05","161830.05","","","","","",""
"2000","","","","","","","250335.48","250335.48","250335.48"
"2009","162716.36","162716.36","162716.36","","","","","",""
"2011","","","","","","","251734.33","251734.33","251734.33"
"2020","163602.67","163602.67","163602.67","","","","","",""
"2022","","","","","","","253133.38","253133.38","253133.38"
"2032","164489.08","164489.08","164489.08","","","","","",""
"2034","","","","","","","254532.4","254532.4","254532.4"
"2043","165375.75","165375.75","165375.75","","","","","",""
"2045","","","","","","","255931.12","255931.12","255931.12"
"2054","166262","166262","166262","","","","","",""
"2056","","","","","","","257329.64","257329.64","257329.64"
"2067","","","","","","","258728.31","258728.31","258728.31"
"2078","","","","","","","260126.75","260126.75","260126.75"
"2089","","","","","","","261525.48","261525.48","261525.48"
"2101","","","","","","","262924.22","262924.22","262924.22"
"2112","","","","","","","264323.12","264323.12","264323.12"
"2123","","","","","","","265722.38","265722.38","265722.38"
"2134","","","","","","","267121.38","267121.38","267121.38"
"2145","","","","","","","268520.5","268520.5","268520.5"
"2157","","","","","","","269918.88","269918.88","269918.88"
"2168","","","","","","","271317.8","271317.8","271317.8"
"2179","","","","","","","272716.6","272716.6","272716.6"
