"global_step","1777156828-grad-compression=surprise - charts/episodic_return","1777156828-grad-compression=surprise - charts/episodic_return__MIN","1777156828-grad-compression=surprise - charts/episodic_return__MAX","1777156828-grad-compression=surprise - _step","1777156828-grad-compression=surprise - _step__MIN","1777156828-grad-compression=surprise - _step__MAX","1776981725-grad-compression=none - charts/episodic_return","1776981725-grad-compression=none - charts/episodic_return__MIN","1776981725-grad-compression=none - charts/episodic_return__MAX","1776981725-grad-compression=none - _step","1776981725-grad-compression=none - _step__MIN","1776981725-grad-compression=none - _step__MAX"
"95804","","","","","","","-53.405018","-53.405018","-53.405018","339","339","339"
"96798","69.23077","69.23077","69.23077","428","428","428","","","","","",""
"96805","","","","","","","-11.538462","-11.538462","-11.538462","340","340","340"
"97799","-41.780823","-41.780823","-41.780823","429","429","429","","","","","",""
"97806","","","","","","","-62.328766","-62.328766","-62.328766","341","341","341"
"98800","0.37174723","0.37174723","0.37174723","445","445","445","","","","","",""
"98807","","","","","","","-33.085503","-33.085503","-33.085503","352","352","352"
"99801","-67.741936","-67.741936","-67.741936","446","446","446","","","","","",""
"99808","","","","","","","12.903226","12.903226","12.903226","353","353","353"
"100802","11.864407","11.864407","11.864407","447","447","447","","","","","",""
"100809","","","","","","","8.474576","8.474576","8.474576","354","354","354"
"101803","-44.07895","-44.07895","-44.07895","448","448","448","","","","","",""
"101810","","","","","","","-27.631578","-27.631578","-27.631578","355","355","355"
"102804","-40","-40","-40","464","464","464","","","","","",""
"102811","","","","","","","-26.666666","-26.666666","-26.666666","366","366","366"
"103576","-95.14947","-95.14947","-95.14947","465","465","465","","","","","",""
"103812","","","","","","","31.672598","31.672598","31.672598","367","367","367"
"104577","-68.42105","-68.42105","-68.42105","466","466","466","","","","","",""
"104725","","","","","","","-127.94211","-127.94211","-127.94211","368","368","368"
"105578","-25.081432","-25.081432","-25.081432","467","467","467","","","","","",""
"105672","","","","","","","-145.64006","-145.64006","-145.64006","369","369","369"
"106579","-41.37931","-41.37931","-41.37931","483","483","483","","","","","",""
"106673","","","","","","","-44.827587","-44.827587","-44.827587","380","380","380"
"107580","-54.225353","-54.225353","-54.225353","484","484","484","","","","","",""
"107674","","","","","","","111.26761","111.26761","111.26761","381","381","381"
"108581","-40.59406","-40.59406","-40.59406","485","485","485","","","","","",""
"108675","","","","","","","91.41914","91.41914","91.41914","382","382","382"
"109582","1.3513514","1.3513514","1.3513514","486","486","486","","","","","",""
"109676","","","","","","","-15.540541","-15.540541","-15.540541","383","383","383"
"110583","-56.52174","-56.52174","-56.52174","487","487","487","","","","","",""
"110677","","","","","","","7.0234113","7.0234113","7.0234113","394","394","394"
"111584","5.4545455","5.4545455","5.4545455","503","503","503","","","","","",""
"111678","","","","","","","103.63636","103.63636","103.63636","395","395","395"
"112585","-62.546818","-62.546818","-62.546818","504","504","504","","","","","",""
"112679","","","","","","","27.340824","27.340824","27.340824","396","396","396"
"113586","-56.363636","-56.363636","-56.363636","505","505","505","","","","","",""
"113680","","","","","","","45.454544","45.454544","45.454544","397","397","397"
