global_step,surprise,baseline,gradient_stats
141268,,,29.824562
141426,,53.605015,
141871,,,
142049,,,
142099,,,
142238,32.258064,,
142269,,,-29.577465
142427,,209.67741,
142872,,,
143050,,,
143100,,,
143239,-18.149466,,
143270,,,72.043015
143428,,440.92526,
143873,,,
144051,,,
144101,,,
144240,-55.32646,,
144271,,,44.200626
144429,,16.838488,
144843,-139.26666,,
144874,,,
145052,,,
145102,,,
145272,,,12.903226
145430,,-9.722222,
145844,-42.446045,,
145875,,,
145995,,-120.32877,
146053,,,
146103,,,
146273,,,145.5516
146845,-44.444443,,
146876,,,
146996,,76.47059,
147054,,,
147104,,,
147274,,,-0.34364262
147846,-42.372883,,
147877,,,
147958,,,-112.64445
147997,,177.9661,
148055,,,
148105,,,
148847,-28.327644,,
148878,,,
148959,,,7.913669
148998,,381.22867,
149056,,,
149106,,,
149848,50.735294,,
149879,,,
149960,,,37.2549
149999,,650.0,
150057,,,
150107,,,
150849,-1.7857143,,
150880,,,
150961,,,18.644068
151000,,161.90475,
151058,,,
151108,,,
151850,37.2549,,
151881,,,
151962,,,29.692833
152001,,194.11765,
152059,,,
152109,,,
152851,-31.147541,,
152882,,,
152963,,,43.382355
153002,,500.0,
153060,,,
153110,,,
153852,-35.59322,,
153883,,,
153964,,,27.97619
154003,,289.8305,
154061,,,
154111,,,
154652,,,
154853,-62.199314,,
154965,,,99.346405
155004,,284.87973,
155062,,,
155112,,,
155653,,,
155854,-22.807018,,
155966,,,-40.98361
156005,,475.4386,
156063,,,
156113,,,
156654,,,
156855,-57.03125,,
156967,,,188.13559
157006,,739.84375,
157064,,,
157114,,,
157655,,,
157856,-7.284768,,
157968,,,16.838488
158007,,257.6159,
158065,,,
158115,,,
158656,,,
158857,-56.656345,,
158969,,,-54.385963
159008,,534.6749,
159066,,,
159116,,,
159409,,,-96.925
159657,,,
159858,-38.11075,,
160009,,134.5277,
160067,,,
160117,,,
160410,,,65.56291
160658,,,
160859,-12.121212,,
161010,,272.72726,
161068,,,
161118,,,
161411,,,51.702785
161659,,,
161860,8.527132,,
162011,,632.55817,
162069,,,
162119,,,
162412,,,46.579803
162660,,,
162861,-56.52174,,
163012,,519.56525,
163070,,,
163120,,,
163413,,,-3.030303
163661,,,
163862,-61.53846,,
164013,,243.19527,
164071,,,
164121,,,
164414,,,-14.7286825
164662,,,
164863,12.35955,,
165014,,188.38951,
165072,,,
165122,,,
165415,,,-45.652172
165663,,,
165864,-67.741936,,
166015,,267.74194,
166073,,,
166123,,,
166416,,,98.22485
166664,,,
166865,-49.019608,,
167016,,750.9804,
167074,,,
167124,,,
167417,,,-6.367041
167665,,,
167866,-42.238266,,
168017,,816.9675,
168075,,,
168125,,,
168418,,,-32.258064
168666,,,
168867,-70.479706,,
169018,,852.02954,
169076,,,
169126,,,
169419,,,92.15686
169667,,,
169868,-56.953644,,
170019,,317.21854,
170077,,,
170127,,,
170420,,,-49.458485
170668,,,
170869,-14.705882,,
171020,,273.52942,
171078,,,
171128,,,
171421,,,-4.0590405
171669,,,
171870,-44.62541,,
172021,,668.7296,
172079,,,
172129,,,
172422,,,-37.086094
172670,,,
172871,-9.090909,,
173022,,686.71326,
173080,,,
173130,,,
173423,,,82.35294
173671,,,
173872,-64.91228,,
173972,,,-131.8987
174023,,696.4912,
174081,,,
174131,,,
174672,,,
174873,-59.83936,,
174973,,,46.853146
175024,,426.10443,
175082,,,
175132,,,
175673,,,
175874,-20.0,,
175974,,,-36.842106
176025,,560.0,
176083,,,
176133,,,
176674,,,
176875,-83.870964,,
176975,,,-39.759037
177026,,751.6129,
177084,,,
177134,,,
177310,,,-76.63333
177352,,,
177454,,43.967163,
177742,,,
177876,-73.8806,,
178135,,,
178311,,,19.35484
178353,,,
178455,,711.3879,
178743,,,
178877,20.99644,,
179136,,,
179312,,,-14.179105
179354,,,
179456,,689.0909,
179744,,,
179878,60.0,,
180014,,,
180137,,,
180313,,,-43.060497
180457,,664.7059,
180745,,,
180879,-20.415224,,
180892,,,
181138,,,
181314,,,-41.81818
181458,,625.2747,
181746,,,
181880,-19.41392,,
181893,,,
182139,,,
182315,,,76.47059
182459,,22.977346,
182747,,,
182881,26.213593,,
182894,,,
183140,,,
183316,,,-4.7619047
183460,,642.3313,
183748,,,
183882,-23.312883,,
183895,,,
184141,,,
184317,,,35.92233
184461,,353.07443,
184749,,,
184883,-51.45631,,
184896,,,
185142,,,
185318,,,59.5092
185462,,338.247,
185750,,,
185884,-20.318726,,
185897,,,
186143,,,
186319,,,-38.511326
186463,,453.4591,
186694,,,-109.41155
186751,,,
186885,-15.094339,,
186898,,,
187144,,,
187464,,486.2069,
187695,,,-8.805032
187752,,,
187886,-9.090909,,
187899,,,
188145,,,
188465,,742.65735,
188696,,,-31.034483
188753,,,
188887,18.881119,,
188900,,,
189146,,,
189466,,441.51624,
189697,,,11.888112
189754,,,
189888,-74.72924,,
189901,,,
190147,,,
190467,,291.00345,
190698,,,-67.509026
190755,,,
190889,-68.85813,,
190902,,,
191148,,,
191468,,58.102768,
191699,,,7.266436
191756,,,
191890,-9.090909,,
191903,,,
192149,,,
192469,,563.12054,
192700,,,54.150196
192757,,,
192891,38.29787,,
192904,,,
193150,,,
193470,,724.91583,
