"Step","1779039473-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb","1779039473-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MIN","1779039473-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MAX","1778997949-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb","1778997949-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MIN","1778997949-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MAX","1778988573-grad-compression=none - charts/calculated_data_transfer_total_mb","1778988573-grad-compression=none - charts/calculated_data_transfer_total_mb__MIN","1778988573-grad-compression=none - charts/calculated_data_transfer_total_mb__MAX"
"958","12259.925","12259.925","12259.925","12259.925","12259.925","12259.925","12259.925","12259.925","12259.925"
"969","12404.159","12404.159","12404.159","12404.159","12404.159","12404.159","12404.159","12404.159","12404.159"
"980","12548.394","12548.394","12548.394","12548.394","12548.394","12548.394","12548.394","12548.394","12548.394"
"991","12692.628","12692.628","12692.628","12692.628","12692.628","12692.628","12692.628","12692.628","12692.628"
"1002","12836.862","12836.862","12836.862","12836.862","12836.862","12836.862","12836.862","12836.862","12836.862"
"1013","12981.097","12981.097","12981.097","12981.097","12981.097","12981.097","12981.097","12981.097","12981.097"
"1024","13125.331","13125.331","13125.331","13125.331","13125.331","13125.331","13125.331","13125.331","13125.331"
"1035","13269.565","13269.565","13269.565","13269.565","13269.565","13269.565","13269.565","13269.565","13269.565"
"1046","13413.8","13413.8","13413.8","13413.8","13413.8","13413.8","13413.8","13413.8","13413.8"
"1057","13558.034","13558.034","13558.034","13558.034","13558.034","13558.034","13558.034","13558.034","13558.034"
"1068","13702.269","13702.269","13702.269","13702.269","13702.269","13702.269","13702.269","13702.269","13702.269"
"1079","13846.503","13846.503","13846.503","13846.503","13846.503","13846.503","13846.503","13846.503","13846.503"
"1090","13990.737","13990.737","13990.737","13990.737","13990.737","13990.737","13990.737","13990.737","13990.737"
"1101","14134.972","14134.972","14134.972","14134.972","14134.972","14134.972","14134.972","14134.972","14134.972"
"1112","14279.206","14279.206","14279.206","14279.206","14279.206","14279.206","14279.206","14279.206","14279.206"
